id, stimuli, condition, looking, away, order, train_looking, train_away, train_looking_prop, total_looking, total_away, total_looking_prop
1,pagu,part,7.72247982,2.004873991,6,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
1,drogu,part,10.274591208,3.695027828,7,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
1,zeka,part,10.460331203,4.254924773,8,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
33,kadro,word,15.0062930584,0,1,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,drogu,part,13.664614201,1.338034868,2,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,zupa,word,10.251466036,2.000149965,3,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,fama,word,4.261920929,2.903458118,4,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,pagu,part,4.074645996,2.012117863,5,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,pera,word,15.027040959,0,6,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,dafa,part,10.803741216,2.40742898,7,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
33,zeka,part,10.709414959,2.773216963,8,83.7991373544,13.434406757,0.861833620488,127.179121969,55.3275370621,0.696846474777
27,zeka,part,5.734623909,2.002258062,1,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,pagu,part,6.982364178,2.669600963,2,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,dafa,part,4.641275883,2.006954193,3,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,kadro,word,12.564510823,2.013280153,4,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,drogu,part,4.279086113,2.015827894,5,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,zupa,word,4.133936882,2.006042958,6,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,pera,word,3.606978894,2.005475998,7,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
27,fama,word,9.430655003,2.004815101,8,51.373431685,16.724255322,0.754407879958,98.678996565,131.532793282,0.428644408831
9,pagu,part,13.704242229,1.292539835,1,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,drogu,part,14.996894836,0,2,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,kadro,word,13.707890034,1.292376995,3,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,zeka,part,12.541099071,2.455837012,4,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,dafa,part,8.749838114,2.551686048,5,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,zupa,word,10.85444808,2.004766941,6,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,pera,word,13.542026042,1.471406937,7,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
9,fama,word,13.323546886,1.573915005,8,101.419985292,12.642528773,0.889161405247,174.870978593,66.4548063282,0.724626167279
34,zeka,part,5.838262796,2.010604143,1,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,pagu,part,8.958851814,4.339386225,2,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,fama,word,4.450088024,2.005023002,3,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,pera,word,5.954805135,2.726590872,4,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,drogu,part,6.410650969,3.102178097,5,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,zupa,word,7.876612901,2.004670144,6,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,kadro,word,6.751841068,2.002776862,7,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
34,dafa,part,0.276473999,2.007084132,8,46.517586706,20.198313477,0.697248880378,145.918129917,100.744595054,0.591569439339
19,kadro,word,8.315201997,2.579982997,1,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,pera,word,9.637081862,2.010630131,2,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,zupa,word,5.73970294,2.014173031,3,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,fama,word,10.095791102,2.482165813,4,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,dafa,part,5.624170065,2.465775967,5,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,zeka,part,10.472244978,3.46521902,6,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,pagu,part,5.975447893,2.519205093,7,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
19,drogu,part,2.602076054,2.000138998,8,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
